presupuesto_anual,nombre_equipo,region,sede,anio_fundacion
1841370.0,Phoenix Rising,Asia,Berlín,2019
424337.0,Dark Wolves,Asia,Ciudad de méxico,2018
901992.0,Byte Force,Asia,Tokio,2020
1204556.0,Neon Strikers,Latinoamérica,Los ángeles,2024
883432.0,Cyber Dragons,Latinoamérica,Seúl,2022
1629655.0,Shadow Legion,Latinoamérica,Varsovia,dos mil diecinueve
161133600.0,Titan Esports,Asia,Londres,
1141761.0,Storm Gaming,Europa,Lisboa,2021
429364.0,Vortex Club,Europa,Santiago,2020
1869817.0,Arctic Foxes,Norteamérica,Tokio,2031
1134865.0,Nova Squad,Latinoamérica,Nueva york,2024
419255.0,Omega Team,Asia,São paulo,2015
184473300.0,Raptors GG,Asia,Bogotá,2020
293707.0,Eclipse,Norteamérica,Estocolmo,dos mil veinte
1357439.0,Zenith,Latinoamérica,Buenos aires,2018
1029596.0,Iron Bears,Asia,Madrid,2017
783731.0,Crystal Gaming,Latinoamérica,Berlín,2018
750194.0,Thunder Esports,Europa,Londres,2022
938165.0,Blaze Team,Norteamérica,París,2016
1609517.0,Quantum Five,Europa,Ciudad de méxico,2024
