id_partida,fecha,equipo_1,equipo_2,puntuacion_1,puntuacion_2,mapa,torneo,duracion_minutos
Match-00344,25/11/2025,Thunder Esports,Raptors GG,8.0,4.0,Mirage,Cyberleague temporada Primera,48.0
Match-00320,4/3/26,Nova Squad,Arctic Foxes,1.0,15.0,Bind,Copa nacional,34.0
Match-00140,17/12/25,Eclipse,Arctic Foxes,14.0,14.0,Vértigo,Cyberleague temporada Primera,
Match-00077,25-dic-2026,Iron Bears,Raptors GG,3.0,13.0,Ascnet,Open Qualifier,28.0
Match-00053,2025-10-28,Thunder Esports,Vortex Club,0.0,10.0,Mirage,Cyber league Segunda,49.0
Match-00124,"julio 5, 2025",Byte Force,Vortex Club,10.0,2.0,Bind,Copa nac.,0.0
Match-00104,"enero 5, 2025",Quantum Five,Iron Bears,0.0,5.0,Nuke,Copa nacional,26.0
Match-00364,22-01-2026,Neon Strikers,Phoenix Rising,1.0,3.0,Dust_2,Copa nacional,20.0
Match-00021,07/05/2026,Eclipse,Raptors GG,9.0,16.0,Ascent,Masters,72.0
Match-00146,23/11/2026,Shadow Legion,Titan Esports,5.0,14.0,Overpass,Open Qualifier,67.0
Match-00164,18/06/2025,Neon Strikers,Quantum Five,14.0,5.0,Vértigo,Masters series,999.0
Match-00322,2025-04-10,Omega Team,Dark Wolves,7.0,8.0,Dust2,Cyberleague Segunda,66.0
Match-00308,10/11/25,Omega Team,Titan Esports,7.0,4.0,Inferno,Open Qualifier,43.0
Match-00179,22/02/2026,Phoenix Rising,Zenith,11.0,7.0,Inferno,Qualifier,66.0
Match-00119,15 de agosto de 2026,Raptors GG,Blaze Team,0.0,1.0,Overpass,Copa nacional,38.0
Match-00170,19-09-2025,Stomr Gaming,Thunder Esports,1.0,1.0,Overpass,Masters series,56.0
Match-00114,"febrero 16, 2025",Cyber Dragons,Titan Esports,3.0,1.0,Dust_2,Cyber league Segunda,56.0
Match-00109,25-jun-2025,Blaze Team,Iron Bears,7.0,5.0,Vértigo,Cyberleague Segunda,51.0
Match-00167,14-04-2026,Omega Team,Neon Strikers,12.0,10.0,Overpass,Cyberleague temporada Primera,65.0
Match-00303,"agosto 2, 2025",Storm Gaming,Blaze Team,14.0,9.0,Bind,Open,30.0
Match-00165,25-10-2025,Dark Wolves,Neon Strikers,4.0,4.0,Nuke,Cyberleague Segunda,48.0
Match-00111,16-dic-2025,Zenith,Blaze Team,5.0,11.0,Overpas,Open Qualifier,40.0
Match-00095,21-nov-2026,Quantum Five,Tita Esports,5.0,9.0,Vértigo,Open,42.0
Match-00097,2026-10-17,Vortex Club,Iron Bears,13.0,5.0,Ascent,Grand finals,31.0
Match-00058,2025-02-24,Titan Esports,Blaze Team,0.0,14.0,Bind,Grand finals,
Match-00367,22 de junio de 2026,Phoenix Rising,Ratpors GG,7.0,15.0,Dust_2,Grand finals,45.0
Match-00350,"febrero 10, 2025",Phoenix Rising,Vortex Club,13.0,7.0,Dust2,Open,59.0
Match-00093,16-jul-2025,Cyber Dragons,Crystal Gaming,16.0,10.0,Dust_2,Cyberleague Segunda,70.0
Match-00305,"mayo 25, 2026",Crystal Gaming,Nova Squad,8.0,7.0,Ascent,Grand finals,62.0
Match-00178,2026-10-13,Vortex Club,Neon Strikers,7.0,6.0,Overpass,Grand finals,53.0
Match-00270,01/09/2025,Omgea Team,Vortex Club,14.0,5.0,Vértigo,Cyberleague Primera,70.0
Match-00026,2026-09-04,Quantum Five,Byte Force,999.0,9.0,Haeven,Cyber league Segunda,46.0
Match-00404,11 de octubre de 2026,Thunder Esports,Dark Wolves,8.0,15.0,Haven,Copa nacional,31.0
Match-00242,5-ago-2025,Dark Wolves,Thunder Esports,4.0,9.0,Nuke,Copa nacional,74.0
Match-00101,1/5/25,Omgea Team,Zenith,16.0,4.0,Over pass,Sin datos,42.0
Match-00293,10 de octubre de 2025,Eclipse,Neon srtikers,16.0,4.0,Inferno,Copa nacional,27.0
Match-00062,2025-12-24,Byte Force,Nova Squad,6.0,13.0,Nuke,Grand finals,61.0
Match-00018,09/04/2025,Zenith,Dark Wolves,14.0,16.0,Ascnet,Grand final,45.0
Match-00067,21-ago-2025,Thunder Esports,Vortex Club,11.0,12.0,Ancient,Qualifier,34.0
Match-00231,16/05/2026,Cyberd Dragons,Iron Bears,7.0,4.0,Inferno,Cyberleague Primera,999.0
Match-00379,24/11/26,Iron Bears,Arctic Foxes,2.0,14.0,Vértigo,Cyberleague Segunda,75.0
Match-00343,23-abr-2026,Byte Force,Neon Strikers,4.0,15.0,Ancient,Grand finals,72.0
Match-00375,10 de julio de 2025,Dark Wolves,Tita Esports,0.0,12.0,Haeven,Grand finals,41.0
Match-00139,13 de septiembre de 2025,Zenith,Dark Wolves,12.0,16.0,Nuke,Open Qualifier,0.0
Match-00083,12-07-2026,Phoenix Rising,Titan Esports,1.0,6.0,Inferno,Copa nacional,53.0
