torneo,edicion,equipo,posicion,premio_eur,fecha
Copa nac.,Segunda,Shadowlegion,,5112.0,
Cyber league Segunda,Segunda,Phoenix rising,,2726.0,
Copa nacional,Tercera,Thunder esports,2.0,24942.0,20260723.0
Master series,2025-s1,Thunder esports,,52263.0,
Copa nacional,Tercera,Blaze team,,24870.0,
Masters,Segunda,Shadow legion,,19279.0,
Grand finals,Segunda,Phoenix risign,,27014.0,
Cyberleague temporada Primera,Primera,Nova squad,,0.0,
Grand finals,Segunda,Zenith,,52405.0,
Cyberleague Primera,Primera,Byet force,,18718.0,
Cyberleague Primera,Primera,Crystal gaming,8.0,3001.0,
Cyberleague Segunda,Segunda,Zenith,,19017.0,
Masters,2025-s1,Phoenix rising,,50756.0,27092026.0
Grand finals,Tercera,Thunder esports,,9934.0,
Copa nacional,Primera,Titan esports,,7718.0,
Copa nacional,Primera,Noav squad,,12465.0,
Gran final,Primera,Blaze etam,,25747.0,19102025.0
Master series,Primera,Cyberd ragons,,2916.0,
Cyberleague Primera,Primera,Neon strikers,,49792.0,
Masters series,Edición Primera,Neon strikers,,11697.0,
Masters,Sin datos,Zenith,,17018.0,
Gran final,Edición Segunda,Nova squad,4.0,11438.0,0.0
Cyber league Segunda,Segunda,Arctic foxes,4.0,14254.0,
Cyberleague temporada Primera,Segunda,Vortex club,,26547.0,
Grand finals,2025-s1,Arcticfoxes,,25777.0,
Open qualifier,Segunda,Quantum five,8.0,5891.0,
Copa nacional,Edición Primera,Iron bears,,4886.0,
Copa nac.,Edición Segunda,Thunder esports,4.0,0.0,
Cyberleague Segunda,Edición Segunda,Byet force,,26397.0,21112025.0
Cyberleague Segunda,N/a,Ironbears,,4236.0,3052025.0
Masters series,Edición Segunda,Titan esports,,51232.0,
Cyber league Segunda,Segunda,Blaze team,8.0,824.0,13052025.0
Copa nacional,2025-s1,Storm gaming,8.0,1097.0,20102026.0
Copa nacional,N/a,Byte force,7.0,5644.0,2112026.0
Grand finals,2025-s1,Zenith,,945.0,
Open qualifier,2025-s1,Storm gaming,7.0,5892.0,20260128.0
Copa nac.,2025-s1,Storm gaming,,13879.0,
Grand finals,Segunda,Titan esports,,5065.0,
Copa nacional,Segunda,Thunder esports,,25901.0,
Cyberleague temporada Segunda,Edición Primera,Eclipse,,4913.0,18092025.0
Copa nacional,Edición Segunda,Cyber dragons,,4882.0,2072026.0
Open qualifier,2025-s1,Neon strikers,,5340.0,20261020.0
Cyberleague Primera,Tercera,Titan esports,,5054.0,
Cyberleague Segunda,Primera,Dark wolves,,13026.0,
Copa nacional,Primera,Titan esports,,3424.0,
Masters,Tercera,Phoenix rising,1.0,51559.0,20260526.0
Master series,2025-s1,Eclipse,,2943.0,
Masters,Segunda,Nova squad,4.0,14100.0,
